Place_Name_City,Review,Sentiment
"Fresh Table, Hyderabad","वे खुद को इको-फ्रेंडली बताते हैं, लेकिन मैंने प्लास्टिक स्ट्रॉ का उपयोग होते देखा। सस्टेनेबिलिटी का प्रचार करने वाली जगह के लिए निराशाजनक।",GREEN
"Fresh Table, Jaipur","खाना ताजा था, लेकिन रेस्तरां भीड़भाड़ और शोरगुल वाला था। एक सुखद अनुभव नहीं था।",RED
"Pure Bites, Lucknow","The staff was friendly, but the food was not fresh. Disappointed with the overall experience.",RED
"Nature's Haven, Delhi","सस्टेनेबल डाइनिंग के लिए बढ़िया जगह। ग्राहक सेवा उत्कृष्ट थी, और शाकाहारी विकल्प शानदार थे।",GREEN
"Sustainable Bites, Pune","The food was fresh and organic, but the staff was rude and unhelpful. Won't be returning.",RED
"Green Spices, Pune","They claim to be eco-friendly, but I saw plastic straws being used. Disappointing for a place that promotes sustainability.",RED
"Eco Oasis, Kochi","माहौल अच्छा था, लेकिन खाना बेस्वाद और महंगा था। इतनी प्रशंसा के लायक नहीं।",RED
"Sustainable Haven, Lucknow","खाना अच्छा था, लेकिन रेस्तरां उतना इको-फ्रेंडली नहीं था जितना विज्ञापित किया गया था। बहुत अधिक सिंगल-यूज प्लास्टिक।",RED
"Eco Table, Ahmedabad","Great place for sustainable dining. The customer service was excellent, and the vegan options were fantastic.",GREEN
"Organic Spices, Delhi","वे खाद्य अपशिष्ट को कम करने पर ध्यान देते हैं, लेकिन सेवा खराब थी। स्टाफ उदासीन लग रहा था।",RED
"Nature's Bliss, Hyderabad","They use locally sourced ingredients, but the food was underwhelming. Expected better for the price.",RED
"Nature's Haven, Patna","वे स्थानीय सामग्री का उपयोग करते हैं, लेकिन खाना निराशाजनक था। कीमत के हिसाब से बेहतर उम्मीद थी।",RED
"Fresh Bites, Patna","उनके सस्टेनेबल दृष्टिकोण से प्यार था, लेकिन खाना औसत था। सेवा अच्छी थी, हालांकि।",RED
"Earth Bites, Indore","The food was fresh, but the restaurant was overcrowded and noisy. Not a pleasant experience.",RED
"Sustainable Oasis, Lucknow","स्टाफ मित्रवत था, लेकिन खाना ताजा नहीं था। समग्र अनुभव से निराशा हुई।",RED
"Fresh Table, Chandigarh","The food was good, but the restaurant was not as eco-friendly as advertised. Too much single-use plastic.",RED
"Nature's Spices, Guwahati","The food was decent, but the service was extremely slow. They need to improve their efficiency.",RED
"Healthy Table, Kochi","खाना ताजा और जैविक था, लेकिन स्टाफ रूखा और बेअदब था। वापस नहीं आऊंगा।",RED
"Earth Taste, Jaipur","They focus on reducing food waste, but the service was terrible. The staff seemed disinterested.",RED
"Fresh Haven, Lucknow","Loved their sustainable approach, but the food was mediocre. The service was great, though.",RED
