"Hotel, City",Review,sentiment_score,Price (INR per night)
"Taj Mahal Palace, Mumbai","The hotel's sustainability initiatives are impressive, with solar panels and water recycling systems. The staff was incredibly courteous and helpful. The food was delicious, especially the local cuisine.",7.788459,40000
"Oberoi Udaivilas, Udaipur","A luxurious stay with a strong focus on eco-friendly practices. The customer service was top-notch, and the spa experience was rejuvenating. However, the food was overpriced for the quality.",1.9146807,45000
"ITC Gardenia, Bangalore","Excellent sustainable practices, including waste management and energy efficiency. The staff was polite, but the room service was slow. The buffet spread was diverse and tasty.",7.672583,25000
"Leela Palace, New Delhi","The hotel's commitment to sustainability is commendable. The staff went above and beyond to make our stay comfortable. The food, however, was average and not worth the price.",1.51999,30000
"Taj Lake Palace, Udaipur","A breathtaking location with a strong emphasis on sustainability. The service was impeccable, and the food was exceptional. Highly recommend for an eco-conscious luxury experience.",9.03938,50000
"Lemon Tree Hotel, Pune","The hotel claims to be eco-friendly, but I didn't see much evidence of it. The staff was friendly, but the rooms were poorly maintained. The food was decent but nothing special.",-2.3199391,6000
"Treebo Trend Sunrise, Varanasi","A budget-friendly option with basic amenities. The hotel lacks sustainability efforts. The staff was rude, and the food was below average. Would not recommend.",-5.4031277,3000
"Radisson Blu, Goa","Great location and decent sustainability practices. The staff was helpful, but the rooms were noisy. The seafood at the restaurant was fresh and delicious.",1.50377,12000
"Vivanta by Taj, Srinagar","The hotel's eco-friendly initiatives are noteworthy. The staff was warm and welcoming. The food was excellent, especially the Kashmiri dishes. A memorable stay!",9.85146,15000
"FabHotel Prime, Mumbai","The hotel has minimal sustainability efforts. The staff was unprofessional, and the rooms were unclean. The food was mediocre at best. Disappointing experience.",-8.8743,2500
"The Lalit, Jaipur","A beautiful property with a focus on sustainability. The staff was attentive and courteous. The food was good, but the breakfast options could be improved.",4.9156046,12000
"Hyatt Regency, Chennai","The hotel has strong sustainability practices, including waste reduction. The staff was efficient and friendly. The food was outstanding, with a great variety of cuisines.",7.477195,20000
"Taj Falaknuma Palace, Hyderabad","A royal experience with a commitment to sustainability. The staff was exceptional, and the food was divine. Highly recommend for a luxurious and eco-friendly stay.",9.403553,48000
"Ginger Hotel, Ahmedabad","A budget hotel with limited sustainability efforts. The staff was average, and the rooms were small. The food was basic but edible. Good for a short stay.",-1.098582,3500
"The Oberoi, Rajvilas Jaipur","A stunning property with excellent sustainability practices. The staff was incredibly professional and attentive. The food was exquisite, especially the Rajasthani thali.",9.081783,47000
"JW Marriott, Mumbai","A luxurious hotel with strong sustainability initiatives. The staff was excellent, and the food was exquisite.",8.92047,35000
"The Park, Kolkata","A well-maintained property with eco-friendly practices. The service was good, but the food was just average.",2.761802,10000
"Novotel, Hyderabad","Great business hotel with good sustainability efforts. Rooms were comfortable, and the breakfast was delicious.",8.000774,12000
"The Leela, Goa",A stunning beachside property with strong eco-friendly measures. The seafood was fresh and amazing.,9.064873,45000
"Taj Bengal, Kolkata","An elegant hotel with excellent service. The green initiatives are commendable, and the food was top-notch.",9.178716,42000
"ITC Grand Chola, Chennai","A grand hotel with a strong focus on sustainability. The hospitality was superb, and the food was outstanding.",8.3702,48000
"Shangri-La, Bangalore","A premium stay with eco-conscious operations. The views were breathtaking, and the service was flawless.",5.948423,37000
"Courtyard by Marriott, Pune","A comfortable business hotel with decent sustainability practices. The rooms were modern, and the food was good.",4.8620987,15000
